Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points),Result
Natus Vincere,16,Astralis,19,d2,58.2,569,1000,loss
G2,16,FaZe,10,d2,59.8,67,444,win
NiP,16,GODSENT,5,ovp,57,354,444,win
Envy,8,Cloud9,16,cbl,,354,85,loss
Astralis,13,Heroic,16,trn,63.6,1000,110,loss
FaZe,16,FlipSid3,2,trn,57.5,444,110,win
GODSENT,16,Dignitas,3,mrg,,444,110,win
NiP,16,mousesports,5,cch,60.1,354,305,win
mousesports,13,NiP,16,cbl,51.1,305,354,loss
Natus Vincere,16,FlipSid3,7,ovp,64.3,569,354,win
FlipSid3,12,Natus Vincere,16,trn,,569,569,loss
G2,16,mousesports,6,d2,59.8,67,305,win
mousesports,16,G2,11,cch,60.5,305,67,win
Virtus.pro,7,Dignitas,16,mrg,60,72,67,loss
Dignitas,7,Virtus.pro,16,d2,,72,72,loss
Astralis,16,FaZe,11,mrg,69.1,1000,444,win
FaZe,19,Astralis,16,d2,54.3,444,1000,win
SK,13,Liquid,16,mrg,,444,510,loss
Liquid,16,SK,10,cbl,64,510,510,win
G2,16,FlipSid3,6,trn,46.4,67,510,win
FlipSid3,12,G2,16,nuke,,67,67,loss
Heroic,13,Dignitas,16,mrg,55,110,67,loss
FaZe,12,NiP,16,cch,54.6,444,354,loss
Envy,3,Astralis,16,trn,,444,1000,loss
Astralis,14,Envy,16,mrg,69.1,1000,1000,loss
NiP,16,FaZe,3,cch,60.1,354,444,win
Dignitas,16,FlipSid3,9,ovp,,354,444,win
FlipSid3,5,Dignitas,16,cbl,,354,444,loss
Dignitas,14,mousesports,16,mrg,,354,305,loss
Envy,6,NiP,16,nuke,,354,354,loss
mousesports,16,Dignitas,14,cbl,51.1,305,354,win
NiP,15,Envy,19,d2,67.8,354,354,loss
Astralis,16,FlipSid3,12,trn,63.6,1000,354,win
FlipSid3,6,Astralis,16,ovp,,1000,1000,loss
Dignitas,16,NiP,10,d2,,1000,354,win
NiP,16,Dignitas,8,nuke,77.2,354,354,win
G2,6,Envy,16,nuke,61.2,67,354,loss
Envy,16,G2,14,trn,,67,67,win
FaZe,16,G2,12,ovp,61.2,444,67,win
G2,12,FaZe,16,cch,55.9,67,444,loss
Natus Vincere,16,Astralis,6,mrg,63.3,569,1000,win
Astralis,7,Natus Vincere,16,trn,63.6,1000,569,loss
OpTic,20,Liquid,22,cbl,55.2,151,510,loss
Liquid,16,OpTic,3,mrg,56.7,510,151,win
Envy,10,FaZe,16,mrg,,510,444,loss
FaZe,6,Envy,16,cch,54.6,444,444,loss
G2,11,Natus Vincere,16,trn,46.4,67,569,loss
Natus Vincere,16,G2,12,d2,58.2,569,67,win
Immortals,14,Cloud9,16,ovp,,569,85,loss
Cloud9,16,Immortals,5,cbl,64.4,85,85,win
Virtus.pro,5,FaZe,16,mrg,60,72,444,loss
FaZe,16,Virtus.pro,8,trn,57.5,444,72,win
Liquid,10,Cloud9,16,d2,50.5,510,85,loss
Cloud9,16,Liquid,8,cbl,64.4,85,510,win
NiP,17,Virtus.pro,19,ovp,57,354,72,loss
Virtus.pro,8,NiP,16,nuke,58.8,72,354,loss
G2,13,fnatic,16,trn,46.4,67,197,loss
SK,16,FaZe,6,cbl,,67,444,win
Envy,12,mousesports,16,trn,,67,305,loss
Liquid,12,Virtus.pro,16,cbl,64,510,72,loss
Natus Vincere,16,NiP,12,cbl,53.6,569,354,win
Astralis,6,Gambit,16,d2,65.6,1000,354,loss
fnatic,14,FaZe,16,d2,57.5,197,444,loss
SK,16,G2,11,cbl,,197,67,win
Virtus.pro,16,mousesports,10,trn,52.1,72,305,win
Liquid,16,Envy,7,trn,56.1,510,305,win
NiP,16,OpTic,4,d2,67.8,354,151,win
Astralis,16,Dignitas,12,ovp,66.7,1000,151,win
Gambit,9,Virtus.pro,16,trn,,1000,72,loss
Virtus.pro,12,Gambit,16,nuke,58.8,72,72,loss
Envy,16,Virtus.pro,11,cch,,72,72,win
Virtus.pro,19,Envy,16,mrg,60,72,72,win
Gambit,9,Envy,16,cbl,,72,72,loss
Envy,16,Gambit,13,d2,,72,72,win
fnatic,16,Cloud9,13,d2,57.5,197,85,win
Luminosity,16,Liquid,12,trn,62.2,86,510,win
Liquid,16,G2,6,cbl,64,510,67,win
Luminosity,16,NiP,12,trn,62.2,86,354,win
mousesports,6,Natus Vincere,16,cbl,51.1,305,569,loss
Natus Vincere,6,mousesports,16,mrg,63.3,569,305,loss
NiP,8,GODSENT,16,mrg,55.7,354,305,loss
Astralis,16,SK,12,ovp,66.7,1000,305,win
HellRaisers,7,GODSENT,16,cbl,56.2,161,305,loss
Immortals,13,SK,16,trn,,161,305,loss
fnatic,16,Dignitas,6,d2,57.5,197,305,win
Dignitas,9,fnatic,16,cbl,,197,197,loss
FaZe,16,fnatic,8,mrg,62.8,444,197,win
fnatic,16,FaZe,0,cbl,65.2,197,444,win
FaZe,16,Dignitas,6,mrg,62.8,444,444,win
Dignitas,5,FaZe,16,cbl,,444,444,loss
Cloud9,8,G2,16,cch,61.6,85,67,loss
TYLOO,3,Dignitas,16,cbl,73.2,99,67,loss
Envy,16,Cloud9,12,cbl,,99,85,win
HellRaisers,14,OpTic,16,cch,60,161,151,loss
mousesports,16,G2,1,d2,55,305,67,win
Cloud9,16,TYLOO,13,cch,61.6,85,99,win
Dignitas,10,HellRaisers,16,nuke,,85,161,loss
Cloud9,12,mousesports,16,mrg,62.4,85,305,loss
HellRaisers,8,G2,16,d2,56.3,161,67,loss
TYLOO,16,Immortals,11,cch,74.4,99,67,win
G2,16,TYLOO,9,cch,55.9,67,99,win
FaZe,16,Dignitas,8,mrg,62.8,444,99,win
Envy,16,Immortals,6,d2,,444,99,win
Astralis,16,SK,7,ovp,66.7,1000,99,win
SK,16,Astralis,6,trn,,1000,1000,win
CLG,6,Astralis,16,d2,,1000,1000,loss
Astralis,16,CLG,2,trn,63.6,1000,1000,win
SK,14,CLG,16,ovp,,1000,1000,loss
CLG,3,SK,16,nuke,,1000,1000,loss
G2,16,OpTic,4,nuke,61.2,67,151,win
OpTic,14,G2,16,trn,52.1,151,67,loss
G2,16,NiP,12,d2,59.8,67,354,win
NiP,9,G2,16,trn,68.3,354,67,loss
OpTic,10,NiP,16,trn,52.1,151,354,loss
NiP,16,OpTic,4,cbl,57.8,354,151,win
Luminosity,16,Cloud9,10,trn,62.2,86,85,win
Cloud9,7,Luminosity,16,d2,64.6,85,86,loss
Liquid,14,Luminosity,16,cbl,64,510,86,loss
Luminosity,16,Liquid,6,d2,56.5,86,510,win
Cloud9,16,Liquid,2,cch,61.6,85,510,win
Liquid,11,Cloud9,16,d2,50.5,510,85,loss
fnatic,9,NiP,16,trn,58,197,354,loss
NiP,22,Liquid,18,d2,67.8,354,510,win
fnatic,16,Cloud9,10,inf,67.2,197,85,win
Luminosity,12,G2,16,trn,62.2,86,67,loss
Tempo Storm,16,Liquid,10,cbl,,86,510,win
Luminosity,16,Cloud9,3,mrg,50.8,86,85,win
CLG,1,Cloud9,16,cbl,,86,85,loss
Selfless,6,Luminosity,16,ovp,,86,86,loss
Luminosity,16,Selfless,14,inf,53.1,86,86,win
fnatic,22,Astralis,19,trn,58,197,1000,win
FaZe,16,Envy,7,trn,57.5,444,1000,win
NiP,16,G2,10,d2,67.8,354,67,win
mousesports,16,Natus Vincere,10,cch,60.5,305,569,win
Envy,14,FaZe,16,inf,,305,444,loss
G2,16,NiP,13,cbl,55.7,67,354,win
Natus Vincere,16,mousesports,10,d2,58.2,569,305,win
Astralis,16,fnatic,5,ovp,66.7,1000,197,win
Liquid,16,Selfless,11,cch,66.9,510,197,win
Selfless,16,Liquid,9,trn,,510,510,win
mousesports,15,Virtus.pro,19,trn,54.6,305,72,loss
FaZe,16,Dignitas,7,inf,62.3,444,72,win
Virtus.pro,5,mousesports,16,cch,52.2,72,305,loss
Dignitas,16,FaZe,9,mrg,,72,444,win
NiP,16,Envy,3,trn,68.3,354,444,win
Envy,10,NiP,16,cch,,354,354,loss
FaZe,16,fnatic,10,inf,62.3,444,197,win
fnatic,6,FaZe,16,trn,58,197,444,loss
G2,16,Natus Vincere,3,ovp,51.8,67,569,win
Natus Vincere,19,G2,16,trn,64.8,569,67,win
FaZe,9,Astralis,16,inf,62.3,444,1000,loss
Astralis,16,FaZe,12,d2,65.6,1000,444,win
fnatic,13,Natus Vincere,16,cbl,65.2,197,569,loss
Natus Vincere,11,fnatic,16,ovp,64.3,569,197,loss
mousesports,16,Envy,8,cch,60.5,305,197,win
Envy,19,mousesports,22,inf,,305,305,loss
Virtus.pro,16,Tempo Storm,9,mrg,60,72,305,win
Astralis,9,Dignitas,16,cch,58.5,1000,305,loss
Natus Vincere,19,CLG,15,d2,58.2,569,305,win
Luminosity,7,mousesports,16,cch,54.9,86,305,loss
FaZe,12,Envy,16,cch,54.6,444,305,loss
Envy,14,Tempo Storm,16,cbl,,444,305,loss
Virtus.pro,16,FaZe,8,trn,52.1,72,444,win
NiP,2,Dignitas,16,ovp,57,354,444,loss
G2,2,CLG,16,d2,59.8,67,444,loss
Liquid,13,mousesports,16,d2,50.5,510,305,loss
Liquid,16,Cloud9,5,cch,66.9,510,85,win
Cloud9,8,Liquid,16,d2,64.6,85,510,loss
Dignitas,16,Envy,7,inf,,85,510,win
Envy,14,Dignitas,16,mrg,,85,510,loss
NiP,16,FlipSid3,8,cbl,57.8,354,510,win
FlipSid3,4,NiP,16,ovp,,354,354,loss
Natus Vincere,16,Virtus.pro,4,cbl,53.6,569,72,win
CLG,9,Astralis,16,ovp,,569,1000,loss
Liquid,22,fnatic,19,d2,50.5,510,197,win
NiP,5,Luminosity,16,mrg,55.7,354,86,loss
Cloud9,3,G2,16,d2,64.6,85,67,loss
FlipSid3,28,mousesports,31,cbl,,85,305,loss
Virtus.pro,16,G2,1,trn,52.1,72,67,win
Natus Vincere,16,Cloud9,9,trn,64.8,569,85,win
Envy,8,CLG,16,cbl,,569,85,loss
FaZe,11,Liquid,16,cch,54.6,444,510,loss
Luminosity,16,mousesports,13,mrg,50.8,86,305,win
NiP,19,FlipSid3,17,cch,60.1,354,305,win
NiP,16,Astralis,4,cch,60.1,354,1000,win
Astralis,8,NiP,16,mrg,69.1,1000,354,loss
fnatic,16,FlipSid3,14,inf,67.2,197,354,win
FlipSid3,13,fnatic,16,ovp,,197,197,loss
Dignitas,16,mousesports,10,inf,,197,305,win
mousesports,16,Dignitas,19,cbl,51.1,305,305,loss
FlipSid3,13,SK,16,trn,,305,305,loss
SK,10,FlipSid3,16,mrg,,305,305,loss
Liquid,22,CLG,19,mrg,56.7,510,305,win
CLG,5,Liquid,16,cbl,,510,510,loss
Dignitas,5,Astralis,16,mrg,,510,1000,loss
Astralis,16,Dignitas,11,inf,72.5,1000,1000,win
Natus Vincere,16,Envy,7,cbl,53.6,569,1000,win
Envy,11,Natus Vincere,16,trn,,569,569,loss
FlipSid3,16,mousesports,13,cbl,,569,305,win
mousesports,12,FlipSid3,16,ovp,52.8,305,305,loss
Luminosity,16,CLG,12,ovp,58.8,86,305,win
CLG,9,Luminosity,16,cbl,,86,86,loss
Dignitas,5,fnatic,16,ovp,,86,197,loss
fnatic,16,Dignitas,6,trn,58,197,197,win
FaZe,13,mousesports,16,d2,54.3,444,305,loss
mousesports,16,FaZe,14,cch,60.5,305,444,win
Luminosity,16,Cloud9,7,cbl,59.6,86,85,win
Cloud9,16,Luminosity,13,ovp,57,85,86,win
Liquid,16,Renegades,7,d2,50.5,510,105,win
Renegades,16,Liquid,11,mrg,52.4,105,510,win
FaZe,10,G2,16,cch,54.6,444,67,loss
G2,16,FaZe,13,d2,59.8,67,444,win
Renegades,8,Cloud9,16,d2,60.4,105,85,loss
Cloud9,19,Renegades,16,trn,67.6,85,105,win
NiP,10,fnatic,16,inf,60.3,354,197,loss
fnatic,6,NiP,16,cch,62.6,197,354,loss
Dignitas,16,G2,10,ovp,,197,67,win
G2,16,Dignitas,6,inf,50.8,67,67,win
Dignitas,3,Natus Vincere,16,ovp,,67,569,loss
Natus Vincere,16,Dignitas,14,mrg,63.3,569,569,win
mousesports,19,fnatic,17,d2,55,305,197,win
fnatic,16,mousesports,4,cch,62.6,197,305,win
FlipSid3,7,G2,16,ovp,,197,67,loss
G2,16,FlipSid3,12,trn,46.4,67,67,win
G2,16,Virtus.pro,6,ovp,51.8,67,72,win
Virtus.pro,16,G2,14,trn,52.1,72,67,win
Astralis,7,Envy,16,inf,72.5,1000,67,loss
Envy,10,Astralis,16,trn,,1000,1000,loss
FaZe,12,Natus Vincere,16,mrg,62.8,444,569,loss
Natus Vincere,19,FaZe,17,d2,58.2,569,444,win
FlipSid3,7,Envy,16,cbl,,569,444,loss
Envy,16,FlipSid3,9,mrg,,569,444,win
Envy,12,G2,16,trn,,569,67,loss
G2,16,Envy,11,cch,55.9,67,67,win
NiP,16,Virtus.pro,11,ovp,57,354,72,win
Virtus.pro,2,NiP,16,cch,52.2,72,354,loss
FaZe,9,NiP,16,trn,57.5,444,354,loss
NiP,16,FaZe,7,d2,67.8,354,444,win
mousesports,4,Astralis,16,d2,55,305,1000,loss
Astralis,16,mousesports,12,mrg,69.1,1000,305,win
Envy,19,E-frag.net,22,cch,,1000,305,loss
Virtus.pro,16,FaZe,13,mrg,60,72,444,win
E-frag.net,9,Virtus.pro,16,ovp,,72,72,loss
FaZe,5,Astralis,16,inf,62.3,444,1000,loss
Envy,16,FaZe,12,trn,,444,444,win
E-frag.net,5,Astralis,16,mrg,,444,1000,loss
Envy,14,Virtus.pro,16,cch,,444,72,loss
Virtus.pro,6,Astralis,16,ovp,51,72,1000,loss
Envy,11,Astralis,16,trn,,72,1000,loss
E-frag.net,5,FaZe,16,cch,,72,444,loss
fnatic,19,mousesports,17,d2,57.5,197,305,win
Luminosity,13,NiP,16,mrg,50.8,86,354,loss
mousesports,14,Luminosity,16,cbl,51.1,305,86,loss
NiP,13,Natus Vincere,16,ovp,57,354,569,loss
fnatic,16,NiP,14,inf,67.2,197,354,win
mousesports,6,Natus Vincere,16,cbl,51.1,305,569,loss
fnatic,12,Luminosity,16,inf,67.2,197,86,loss
Luminosity,16,Natus Vincere,11,mrg,50.8,86,569,win
fnatic,16,Natus Vincere,10,d2,57.5,197,569,win
mousesports,16,NiP,8,mrg,61.8,305,354,win
Dignitas,13,Cloud9,16,cch,,305,85,loss
SK,13,CLG,16,ovp,,305,85,loss
FlipSid3,14,G2,16,inf,,305,67,loss
Dignitas,9,Renegades,16,inf,,305,105,loss
HellRaisers,15,mousesports,19,mrg,50,161,305,loss
Liquid,20,HellRaisers,22,d2,50.5,510,161,loss
fnatic,16,SK,6,cch,62.6,197,161,win
SK,11,fnatic,16,ovp,,197,197,loss
Virtus.pro,11,Astralis,16,cch,52.2,72,1000,loss
Astralis,16,Virtus.pro,3,ovp,66.7,1000,72,win
NiP,16,Natus Vincere,10,mrg,55.7,354,569,win
Natus Vincere,16,NiP,13,trn,64.8,569,354,win
NiP,16,mousesports,14,ovp,57,354,305,win
mousesports,15,NiP,19,cch,60.5,305,354,loss
Virtus.pro,13,Envy,16,mrg,60,72,354,loss
Envy,20,Virtus.pro,22,cbl,,72,72,loss
mousesports,16,G2,10,ovp,52.8,305,67,win
G2,16,mousesports,13,d2,59.8,67,305,win
Astralis,13,fnatic,16,inf,72.5,1000,197,loss
Astralis,14,fnatic,16,d2,65.6,1000,197,loss
fnatic,16,G2,8,ovp,54.8,197,67,win
fnatic,16,G2,7,inf,67.2,197,67,win
Dignitas,12,Astralis,16,ovp,,197,1000,loss
Astralis,16,Dignitas,11,mrg,69.1,1000,1000,win
fnatic,16,Envy,7,trn,58,197,1000,win
Astralis,13,G2,16,d2,65.6,1000,67,loss
Envy,9,Astralis,16,mrg,,1000,1000,loss
fnatic,19,Dignitas,17,cbl,65.2,197,1000,win
Envy,13,fnatic,16,cbl,,197,197,loss
Astralis,19,G2,17,d2,65.6,1000,67,win
Envy,16,fnatic,10,trn,,1000,197,win
NiP,16,Dignitas,8,mrg,55.7,354,197,win
Dignitas,8,NiP,16,trn,,354,354,loss
Natus Vincere,16,Virtus.pro,12,cbl,53.6,569,72,win
Virtus.pro,9,Natus Vincere,16,d2,45.8,72,569,loss
fnatic,5,Envy,16,cch,62.6,197,569,loss
Envy,4,fnatic,16,inf,,197,197,loss
FlipSid3,7,Astralis,16,ovp,,197,1000,loss
Astralis,16,FlipSid3,7,mrg,69.1,1000,1000,win
Dignitas,16,Virtus.pro,14,ovp,,1000,72,win
Virtus.pro,5,Dignitas,16,mrg,60,72,72,loss
G2,7,fnatic,16,inf,50.8,67,197,loss
fnatic,16,G2,5,cbl,65.2,197,67,win
Liquid,11,Luminosity,16,cbl,64,510,86,loss
Luminosity,16,Liquid,13,ovp,58.8,86,510,win
CLG,5,Cloud9,16,ovp,,86,85,loss
Cloud9,16,CLG,12,cbl,64.4,85,85,win
Virtus.pro,9,fnatic,16,ovp,51,72,197,loss
fnatic,16,Virtus.pro,12,d2,57.5,197,72,win
Natus Vincere,12,SK,16,trn,64.8,569,72,loss
SK,16,Natus Vincere,7,cbl,,569,569,win
FaZe,16,Virtus.pro,10,mrg,62.8,444,72,win
Virtus.pro,9,FaZe,16,trn,52.1,72,444,loss
G2,16,Astralis,8,cch,55.9,67,1000,win
Astralis,16,G2,10,inf,72.5,1000,67,win
Envy,16,SK,6,cbl,,1000,67,win
SK,19,Envy,22,mrg,,1000,67,loss
Natus Vincere,16,Astralis,14,ovp,64.3,569,1000,win
Astralis,16,Natus Vincere,13,mrg,69.1,1000,569,win
mousesports,19,Astralis,22,mrg,61.8,305,1000,loss
Natus Vincere,16,FaZe,9,trn,64.8,569,444,win
Astralis,16,Dignitas,9,ovp,66.7,1000,444,win
Virtus.pro,5,mousesports,16,d2,45.8,72,305,loss
Luminosity,9,FaZe,16,inf,53.1,86,444,loss
Natus Vincere,16,SK,3,mrg,63.3,569,444,win
NiP,4,fnatic,16,d2,67.8,354,197,loss
fnatic,16,Luminosity,0,d2,57.5,197,86,win
Envy,8,NiP,16,mrg,,197,354,loss
Virtus.pro,13,TSM,16,mrg,60,72,354,loss
TSM,16,Liquid,0,ovp,,72,510,win
CLG,13,Conquest,16,inf,,72,510,loss
Luminosity,16,Cloud9,4,inf,53.1,86,85,win
mousesports,12,Envy,16,cch,60.5,305,85,loss
HellRaisers,16,mousesports,13,trn,49,161,305,win
Natus Vincere,16,Virtus.pro,5,d2,58.2,569,72,win
TSM,12,Envy,16,cbl,,569,72,loss
NiP,16,Titan,3,mrg,55.7,354,72,win
HellRaisers,8,Natus Vincere,16,cbl,56.2,161,569,loss
fnatic,16,Envy,10,inf,67.2,197,569,win
mousesports,7,TSM,16,cch,60.5,305,569,loss
NiP,16,Virtus.pro,13,ovp,57,354,72,win
Dignitas,13,Titan,16,ovp,,354,72,loss
Dignitas,16,Virtus.pro,7,cbl,,354,72,win
CLG,11,Renegades,16,cbl,,354,105,loss
mousesports,13,Virtus.pro,16,d2,55,305,72,loss
NiP,16,Titan,6,trn,68.3,354,72,win
Virtus.pro,16,Titan,2,trn,52.1,72,72,win
NiP,14,Virtus.pro,16,cbl,57.8,354,72,loss
Cloud9,14,Liquid,16,cch,61.6,85,510,loss
Cloud9,16,Conquest,4,inf,53.4,85,510,win
Renegades,10,CLG,16,trn,53.8,105,510,loss
Virtus.pro,10,fnatic,16,trn,52.1,72,197,loss
Luminosity,16,Renegades,0,cbl,59.6,86,105,win
CLG,10,Renegades,16,d2,,86,105,loss
Titan,8,Virtus.pro,16,cbl,,86,72,loss
G2,16,Virtus.pro,10,cch,55.9,67,72,win
NiP,16,fnatic,7,trn,68.3,354,197,win
Envy,4,Virtus.pro,16,cch,,354,72,loss
Virtus.pro,14,NiP,16,mrg,60,72,354,loss
Virtus.pro,13,G2,16,trn,52.1,72,67,loss
Luminosity,16,Liquid,14,d2,56.5,86,510,win
Cloud9,13,Luminosity,16,ovp,57,85,86,loss
Liquid,11,Luminosity,16,cbl,64,510,86,loss
Dignitas,4,fnatic,16,inf,,510,197,loss
Dignitas,16,Virtus.pro,4,cch,,510,72,win
Natus Vincere,14,fnatic,16,d2,58.2,569,197,loss
Cloud9,12,Liquid,16,cch,61.6,85,510,loss
CLG,16,Conquest,12,d2,,85,510,win
Liquid,16,Conquest,8,cch,66.9,510,510,win
mousesports,16,fnatic,9,ovp,52.8,305,197,win
mousesports,16,Virtus.pro,2,inf,48.8,305,72,win
Titan,13,Virtus.pro,16,trn,,305,72,loss
NiP,8,mousesports,16,mrg,55.7,354,305,loss
CLG,10,Luminosity,16,cbl,,354,86,loss
Cloud9,16,Conquest,6,d2,64.6,85,86,win
Cloud9,12,CLG,16,cch,61.6,85,86,loss
CLG,4,Luminosity,16,cch,,85,86,loss
Liquid,16,Luminosity,6,cbl,64,510,86,win
CLG,16,Liquid,12,inf,,510,510,win
NiP,16,Envy,9,cbl,57.8,354,510,win
NiP,16,Dignitas,4,trn,68.3,354,510,win
Envy,16,Natus Vincere,9,mrg,,354,569,win
Virtus.pro,16,Titan,7,trn,52.1,72,569,win
TSM,16,G2,6,d2,,72,67,win
fnatic,13,Luminosity,16,inf,67.2,197,86,loss
Dignitas,14,CLG,16,cbl,,197,86,loss
Liquid,11,NiP,16,mrg,56.7,510,354,loss
FlipSid3,8,mousesports,16,ovp,,510,305,loss
Vexed,13,Cloud9,16,cbl,,510,85,loss
Natus Vincere,16,CLG,12,cbl,53.6,569,85,win
Envy,16,Dignitas,6,cbl,,569,85,win
NiP,13,Titan,16,cbl,57.8,354,85,loss
Virtus.pro,19,Liquid,15,cbl,57.3,72,510,win
G2,16,mousesports,8,inf,50.8,67,305,win
TSM,16,FlipSid3,6,cch,,67,305,win
Luminosity,16,Cloud9,11,d2,56.5,86,85,win
fnatic,16,Vexed,10,cbl,65.2,197,85,win
mousesports,14,Envy,16,ovp,52.8,305,85,loss
mousesports,19,Natus Vincere,17,mrg,61.8,305,569,win
HellRaisers,8,Natus Vincere,16,trn,49,161,569,loss
HellRaisers,16,Titan,5,cch,60,161,569,win
Liquid,16,CLG,11,trn,56.1,510,569,win
Cloud9,11,CLG,16,mrg,62.4,85,569,loss
TSM,16,Envy,9,inf,,85,569,win
Virtus.pro,3,TSM,16,ovp,51,72,569,loss
NiP,17,Titan,19,d2,67.8,354,569,loss
fnatic,22,TSM,20,mrg,61.4,197,569,win
Natus Vincere,16,NiP,11,ovp,64.3,569,354,win
NiP,6,Natus Vincere,16,inf,60.3,354,569,loss
Liquid,16,Cloud9,12,cbl,64,510,85,win
fnatic,16,HellRaisers,13,cbl,65.2,197,161,win
G2,10,NiP,16,cch,55.9,67,354,loss
TSM,5,Virtus.pro,16,ovp,,67,72,loss
Envy,16,fnatic,6,trn,,67,197,win
NiP,16,mousesports,8,cbl,57.8,354,305,win
G2,16,Titan,11,d2,59.8,67,305,win
Cloud9,6,Liquid,16,inf,53.4,85,510,loss
G2,12,fnatic,16,inf,50.8,67,197,loss
Titan,16,Envy,12,d2,,67,197,win
G2,16,HellRaisers,10,cch,55.9,67,161,win
Titan,13,Natus Vincere,16,trn,,67,569,loss
HellRaisers,8,fnatic,16,mrg,50,161,197,loss
TSM,13,Envy,16,mrg,,161,197,loss
Envy,14,NiP,16,d2,,161,354,loss
HellRaisers,11,Virtus.pro,16,ovp,55.6,161,72,loss
Virtus.pro,11,TSM,16,mrg,60,72,72,loss
Titan,16,fnatic,10,trn,,72,197,win
Virtus.pro,16,fnatic,19,cch,52.2,72,197,loss
HellRaisers,9,Dignitas,16,mrg,50,161,197,loss
Dignitas,5,Natus Vincere,16,ovp,,161,569,loss
Dignitas,6,TSM,16,mrg,,161,569,loss
Virtus.pro,17,fnatic,19,trn,52.1,72,197,loss
Natus Vincere,16,TSM,19,cch,22.2,569,197,loss
NiP,12,Virtus.pro,16,inf,60.3,354,72,loss
Virtus.pro,5,Envy,16,d2,45.8,72,72,loss
Immunity,9,Renegades,16,cch,,72,105,loss
NiP,16,Dignitas,8,d2,67.8,354,105,win
Dignitas,8,Envy,16,cch,,354,105,loss
Luminosity,9,Liquid,16,ovp,58.8,86,510,loss
Dignitas,16,mousesports,13,trn,,86,305,win
Dignitas,9,fnatic,16,mrg,,86,197,loss
mousesports,13,TSM,16,d2,55,305,197,loss
Titan,13,TSM,16,cbl,,305,197,loss
Cloud9,16,Luminosity,7,ovp,57,85,86,win
Cloud9,19,Liquid,17,d2,64.6,85,510,win
NiP,10,Envy,16,mrg,55.7,354,510,loss
fnatic,5,Envy,16,cch,62.6,197,510,loss
TSM,13,NiP,16,d2,,197,354,loss
Natus Vincere,16,Envy,13,trn,64.8,569,354,win
TSM,16,Titan,5,ovp,,569,354,win
Titan,16,Natus Vincere,13,ovp,,569,569,win
HellRaisers,16,fnatic,14,cch,60,161,197,win
HellRaisers,16,Envy,14,cbl,56.2,161,197,win
TSM,16,fnatic,3,d2,,161,197,win
Envy,11,Titan,16,mrg,,161,197,loss
G2,10,Envy,16,d2,59.8,67,197,loss
mousesports,16,Titan,8,mrg,61.8,305,197,win
G2,19,TSM,21,d2,59.8,67,197,loss
Titan,2,fnatic,16,ovp,,67,197,loss
mousesports,10,Titan,16,cch,60.5,305,197,loss
fnatic,3,Envy,16,trn,58,197,197,loss
Dignitas,22,Natus Vincere,19,inf,,197,569,win
France,16,Poland,19,cbl,,197,569,loss
Dignitas,3,TSM,16,d2,,197,569,loss
HellRaisers,16,NiP,2,cbl,56.2,161,354,win
Dignitas,19,mousesports,15,cbl,,161,305,win
Titan,16,NiP,21,cbl,,161,354,loss
Envy,16,G2,13,trn,,161,67,win
NiP,10,TSM,16,cbl,57.8,354,67,loss
fnatic,16,NiP,14,cbl,65.2,197,354,win
Titan,5,TSM,16,ovp,,197,354,loss
Titan,16,fnatic,13,trn,,197,197,win
TSM,16,HellRaisers,5,ovp,,197,161,win
Cloud9,16,Luminosity,6,trn,67.6,85,86,win
Dignitas,8,Envy,16,ovp,,85,86,loss
NiP,11,HellRaisers,16,cch,60.1,354,161,loss
